run_id,scenario_id,t,x,y,theta,v,omega,e_line,line_loss_flag,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,obstacle_flag,fault_flag,u_L,u_R,sat_flag_L,sat_flag_R,safety_violation,notes
Demo_S1_final,S1,0.000,0.0027,0.0829,0.0416,0.2730,-2.2084,0.0800,0,0.0423,0.0000,0.0077,0.1056,0.5396,0,0,0.5504,0.1336,0,0,0,
Demo_S1_final,S1,0.010,0.0054,0.0776,-0.0098,0.2707,-4.2607,0.0829,0,0.0132,0.0060,0.0345,0.1097,0.4369,0,0,0.7445,-0.0605,0,0,0,
Demo_S1_final,S1,0.020,0.0082,0.0834,0.0055,0.2775,1.6143,0.0776,0,0.0316,0.0255,0.0623,0.1682,0.6125,0,0,0.2023,0.4817,0,0,0,
Demo_S1_final,S1,0.030,0.0110,0.0791,-0.0784,0.2750,-6.3619,0.0834,0,0.0000,0.0212,0.0335,0.1102,0.4663,0,0,0.9374,-0.2534,0,0,0,
Demo_S1_final,S1,0.040,0.0137,0.0707,-0.0530,0.2744,0.8061,0.0791,0,0.0359,0.0000,0.0157,0.1455,0.5710,0,0,0.2709,0.4131,0,0,0,
Demo_S1_final,S1,0.050,0.0165,0.0663,-0.0152,0.2803,3.9106,0.0707,0,0.0138,0.0032,0.0686,0.2545,0.7651,0,0,-0.0167,0.7007,0,0,0,
Demo_S1_final,S1,0.060,0.0193,0.0713,-0.0007,0.2776,1.3869,0.0663,0,0.0162,0.0000,0.0728,0.3462,0.8953,0,0,0.2261,0.4579,0,0,0,
Demo_S1_final,S1,0.070,0.0218,0.0690,-0.0510,0.2510,-5.3163,0.0713,0,0.0000,0.0000,0.0633,0.2737,0.7612,0,0,0.8586,-0.1746,0,0,0,
Demo_S1_final,S1,0.080,0.0245,0.0724,-0.0426,0.2732,-0.2408,0.0690,0,0.0000,0.0192,0.0913,0.3212,0.8763,0,0,0.3716,0.3124,0,0,0,
Demo_S1_final,S1,0.090,0.0273,0.0780,-0.0874,0.2782,-4.4664,0.0724,0,0.0000,0.0132,0.0373,0.2196,0.7175,0,0,0.7560,-0.0720,0,0,0,
Demo_S1_final,S1,0.100,0.0299,0.0778,-0.1512,0.2585,-5.9687,0.0780,0,0.0326,0.0027,0.0058,0.1736,0.5863,0,0,0.9126,-0.2286,0,0,0,
Demo_S1_final,S1,0.110,0.0326,0.0823,-0.1825,0.2725,-2.0113,0.0778,0,0.0039,0.0000,0.0291,0.1820,0.6077,0,0,0.5329,0.1511,0,0,0,
Demo_S1_final,S1,0.120,0.0351,0.0793,-0.2327,0.2574,-5.3716,0.0823,0,0.0000,0.0172,0.0434,0.0924,0.4410,0,0,0.8587,-0.1747,0,0,0,
Demo_S1_final,S1,0.130,0.0377,0.0795,-0.2237,0.2734,-0.0651,0.0793,0,0.0000,0.0017,0.0214,0.1498,0.5607,0,0,0.3572,0.3268,0,0,0,
Demo_S1_final,S1,0.140,0.0404,0.0792,-0.2416,0.2698,-2.3027,0.0795,0,0.0261,0.0000,0.0000,0.1893,0.5564,0,0,0.5653,0.1187,0,0,0,
Demo_S1_final,S1,0.150,0.0430,0.0850,-0.2644,0.2681,-1.9330,0.0792,0,0.0368,0.0026,0.0000,0.1452,0.5615,0,0,0.5356,0.1484,0,0,0,
Demo_S1_final,S1,0.160,0.0455,0.0877,-0.3243,0.2625,-6.3464,0.0850,0,0.0000,0.0000,0.0046,0.0337,0.4188,0,0,0.9447,-0.2607,0,0,0,
Demo_S1_final,S1,0.170,0.0479,0.0896,-0.3686,0.2550,-4.1813,0.0877,0,0.0000,0.0239,0.0130,0.0500,0.3374,0,0,0.7531,-0.0691,0,0,0,
Demo_S1_final,S1,0.180,0.0504,0.0936,-0.4102,0.2607,-3.6981,0.0896,0,0.0000,0.0038,0.0000,0.0439,0.3393,0,0,0.7039,-0.0199,0,0,0,
Demo_S1_final,S1,0.190,0.0526,0.0937,-0.4629,0.2474,-5.2267,0.0936,0,0.0000,0.0177,0.0345,0.0793,0.1915,0,0,0.8533,-0.1693,0,0,0,
Demo_S1_final,S1,0.200,0.0551,0.0973,-0.4942,0.2722,-2.7324,0.0937,0,0.0000,0.0000,0.0118,0.0526,0.2419,0,0,0.6004,0.0836,0,0,0,
Demo_S1_final,S1,0.210,0.0575,0.0943,-0.5332,0.2711,-5.2313,0.0973,0,0.0325,0.0000,0.0480,0.0320,0.1948,0,0,0.8346,-0.1506,0,0,0,
Demo_S1_final,S1,0.220,0.0598,0.0872,-0.5309,0.2713,-0.3966,0.0943,0,0.0426,0.0000,0.0000,0.0637,0.1932,0,0,0.3996,0.2844,0,0,0,
Demo_S1_final,S1,0.230,0.0621,0.0738,-0.5239,0.2723,2.3430,0.0872,0,0.0061,0.0000,0.0000,0.0818,0.3843,0,0,0.1198,0.5642,0,0,0,
Demo_S1_final,S1,0.240,0.0646,0.0798,-0.4573,0.2798,7.1927,0.0738,0,0.0000,0.0000,0.0285,0.2131,0.7073,0,0,-0.3324,1.0000,0,1,0,
Demo_S1_final,S1,0.250,0.0670,0.0809,-0.5246,0.2704,-6.4534,0.0798,0,0.0111,0.0000,0.0070,0.1386,0.5384,0,0,0.9493,-0.2653,0,0,0,
Demo_S1_final,S1,0.260,0.0693,0.0767,-0.5479,0.2666,-3.0166,0.0809,0,0.0000,0.0055,0.0173,0.1201,0.5244,0,0,0.6350,0.0490,0,0,0,
Demo_S1_final,S1,0.270,0.0716,0.0719,-0.5453,0.2744,0.6970,0.0767,0,0.0000,0.0000,0.0113,0.1591,0.6277,0,0,0.2821,0.4019,0,0,0,
Demo_S1_final,S1,0.280,0.0740,0.0663,-0.5451,0.2795,1.4833,0.0719,0,0.0000,0.0124,0.0454,0.2474,0.7349,0,0,0.2227,0.4613,0,0,0,
Demo_S1_final,S1,0.290,0.0764,0.0709,-0.5209,0.2779,2.0389,0.0663,0,0.0000,0.0000,0.0522,0.3882,0.9027,0,0,0.1608,0.5232,0,0,0,
Demo_S1_final,S1,0.300,0.0786,0.0664,-0.5638,0.2567,-5.1122,0.0709,0,0.0000,0.0000,0.0773,0.2791,0.7902,0,0,0.8357,-0.1517,0,0,0,
Demo_S1_final,S1,0.310,0.0810,0.0648,-0.5541,0.2758,1.2499,0.0664,0,0.0152,0.0374,0.0888,0.3660,0.8407,0,0,0.2333,0.4507,0,0,0,
Demo_S1_final,S1,0.320,0.0833,0.0659,-0.5629,0.2734,-0.8580,0.0648,0,0.0000,0.0127,0.1005,0.4177,0.9016,0,0,0.4233,0.2607,0,0,0,
Demo_S1_final,S1,0.330,0.0856,0.0561,-0.5823,0.2679,-2.5721,0.0659,0,0.0000,0.0015,0.0994,0.4146,0.8620,0,0,0.5930,0.0910,0,0,0,
Demo_S1_final,S1,0.340,0.0879,0.0578,-0.5245,0.2808,5.1354,0.0561,0,0.0000,0.0401,0.2095,0.6664,0.9777,0,0,-0.1329,0.8169,0,0,0,
Demo_S1_final,S1,0.350,0.0902,0.0589,-0.5568,0.2674,-2.7600,0.0578,0,0.0172,0.0514,0.1371,0.5909,0.9895,0,0,0.6107,0.0733,0,0,0,
Demo_S1_final,S1,0.360,0.0925,0.0539,-0.5786,0.2666,-2.4396,0.0589,0,0.0000,0.0185,0.1168,0.5637,0.9779,0,0,0.5833,0.1007,0,0,0,
Demo_S1_final,S1,0.370,0.0948,0.0578,-0.5672,0.2772,1.9485,0.0539,0,0.0127,0.0169,0.2447,0.6849,0.1788,0,0,0.1681,0.5159,0,0,0,
Demo_S1_final,S1,0.380,0.0970,0.0664,-0.6259,0.2553,-4.2706,0.0578,0,0.0148,0.0566,0.1463,0.5861,0.9866,0,0,0.7608,-0.0768,0,0,0,
Demo_S1_final,S1,0.390,0.0988,0.0681,-0.7063,0.2310,-7.4528,0.0664,0,0.0048,0.0000,0.0608,0.3806,0.8642,0,0,1.0000,-0.4048,1,0,0,
Demo_S1_final,S1,0.400,0.1008,0.0696,-0.7438,0.2653,-3.0305,0.0681,0,0.0000,0.0000,0.0502,0.3525,0.8241,0,0,0.6381,0.0459,0,0,0,
Demo_S1_final,S1,0.410,0.1028,0.0657,-0.7804,0.2646,-3.0031,0.0696,0,0.0260,0.0044,0.0403,0.2835,0.8213,0,0,0.6367,0.0473,0,0,0,
Demo_S1_final,S1,0.420,0.1047,0.0642,-0.7856,0.2729,0.6600,0.0657,0,0.0000,0.0000,0.0255,0.3830,0.8610,0,0,0.2752,0.4088,0,0,0,
Demo_S1_final,S1,0.430,0.1066,0.0530,-0.7843,0.2710,-0.6996,0.0642,0,0.0000,0.0217,0.0908,0.4213,0.9228,0,0,0.4227,0.2613,0,0,0,
Demo_S1_final,S1,0.440,0.1087,0.0514,-0.7076,0.2863,6.2080,0.0530,0,0.0045,0.0077,0.2020,0.7311,0.2568,0,0,-0.2304,0.9144,0,0,0,
Demo_S1_final,S1,0.450,0.1108,0.0465,-0.7062,0.2739,-0.4949,0.0514,0,0.0000,0.0449,0.2923,0.7399,0.4072,0,0,0.3859,0.2981,0,0,0,
Demo_S1_final,S1,0.460,0.1131,0.0521,-0.6494,0.3085,2.0829,0.0465,0,0.0000,0.0742,0.3613,0.8570,0.8225,0,0,0.1962,0.5638,0,0,0,
Demo_S1_final,S1,0.470,0.1152,0.0522,-0.7019,0.2666,-5.4641,0.0521,0,0.0216,0.0625,0.2427,0.7554,0.3356,0,0,0.8600,-0.1760,0,0,0,
Demo_S1_final,S1,0.480,0.1173,0.0424,-0.7258,0.2724,-1.6698,0.0522,0,0.0220,0.0317,0.2494,0.7577,0.3421,0,0,0.5019,0.1821,0,0,0,
Demo_S1_final,S1,0.490,0.1196,0.0407,-0.6694,0.3132,5.5463,0.0424,0,0.0466,0.0662,0.4506,0.9386,0.9493,0,0,-0.1313,0.8913,0,0,0,
Demo_S1_final,S1,0.500,0.1220,0.0488,-0.6636,0.3039,-0.0438,0.0407,0,0.0000,0.1143,0.4914,0.9824,1.0000,0,0,0.3883,0.3717,0,0,0,
Demo_S1_final,S1,0.510,0.1243,0.0477,-0.7238,0.2936,-6.9930,0.0488,0,0.0000,0.0655,0.3247,0.8202,0.6727,0,0,1.0000,-0.2951,1,0,0,
Demo_S1_final,S1,0.520,0.1266,0.0449,-0.7246,0.3038,-0.6915,0.0477,0,0.0000,0.0867,0.3166,0.8508,0.7071,0,0,0.4462,0.3138,0,0,0,
Demo_S1_final,S1,0.530,0.1289,0.0410,-0.7497,0.3046,0.5965,0.0449,0,0.0112,0.0985,0.4358,0.8797,0.8679,0,0,0.3294,0.4306,0,0,0,
