run_id,scenario_id,t,x,y,theta,v,omega,e_line,line_loss_flag,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,obstacle_flag,fault_flag,u_L,u_R,sat_flag_L,sat_flag_R,safety_violation,notes,battery_voltage,temperature,v_left_actual,v_right_actual
Demo_S2_hifi,S2,0.000,0.0002,0.0800,0.0467,0.0200,0.0500,0.0800,0,0.1795,0.1695,0.1892,0.2508,0.5239,0,0,0.2040,0.6960,0,0,0,HIFI,11.77,25.00,0.0267,0.0911
Demo_S2_hifi,S2,0.010,0.0006,0.0800,0.0560,0.0400,0.1000,0.0800,0,0.0463,0.0579,0.0576,0.1808,0.5547,0,0,0.2040,0.6960,0,0,0,HIFI,11.77,25.00,0.0489,0.1669
Demo_S2_hifi,S2,0.020,0.0012,0.0801,0.0698,0.0600,0.1500,0.0800,0,0.0106,0.0240,0.0503,0.1348,0.5140,0,0,0.2040,0.6960,0,0,0,HIFI,11.77,25.00,0.0675,0.2302
Demo_S2_hifi,S2,0.030,0.0020,0.0801,0.0770,0.0800,0.2000,0.0801,0,0.0037,0.0120,0.0040,0.1385,0.5356,0,0,0.2039,0.6961,0,0,0,HIFI,11.77,25.00,0.0829,0.2829
Demo_S2_hifi,S2,0.040,0.0030,0.0802,0.0812,0.1000,0.2500,0.0801,0,0.0010,0.0160,0.0225,0.1362,0.5311,0,0,0.2038,0.6962,0,0,0,HIFI,11.77,25.00,0.0958,0.3268
Demo_S2_hifi,S2,0.050,0.0042,0.0803,0.0894,0.1200,0.3000,0.0802,0,0.0000,0.0000,0.0293,0.1130,0.5432,0,0,0.2038,0.6962,0,0,0,HIFI,11.77,25.01,0.1065,0.3634
Demo_S2_hifi,S2,0.060,0.0056,0.0805,0.0942,0.1400,0.3500,0.0803,0,0.0000,0.0154,0.0051,0.1259,0.5018,0,0,0.2036,0.6964,0,0,0,HIFI,11.77,25.01,0.1154,0.3940
Demo_S2_hifi,S2,0.070,0.0072,0.0807,0.0971,0.1600,0.4000,0.0805,0,0.0000,0.0000,0.0019,0.1490,0.5299,0,0,0.2034,0.6966,0,0,0,HIFI,11.77,25.01,0.1227,0.4194
Demo_S2_hifi,S2,0.080,0.0090,0.0809,0.1029,0.1800,0.4500,0.0807,0,0.0009,0.0033,0.0002,0.1253,0.5158,0,0,0.2032,0.6968,0,0,0,HIFI,11.77,25.01,0.1289,0.4407
Demo_S2_hifi,S2,0.090,0.0110,0.0811,0.1120,0.2000,0.5000,0.0809,0,0.0003,0.0079,0.0078,0.1243,0.5147,0,0,0.2029,0.6971,0,0,0,HIFI,11.77,25.01,0.1339,0.4585
Demo_S2_hifi,S2,0.100,0.0131,0.0814,0.1210,0.2200,0.5500,0.0811,0,0.0000,0.0155,0.0000,0.1269,0.5175,0,0,0.2026,0.6974,0,0,0,HIFI,11.77,25.01,0.1381,0.4733
Demo_S2_hifi,S2,0.110,0.0155,0.0818,0.1276,0.2400,0.6000,0.0814,0,0.0000,0.0000,0.0067,0.1219,0.4992,0,0,0.2024,0.6976,0,0,0,HIFI,11.77,25.01,0.1416,0.4857
