run_id,scenario_id,t,x,y,theta,v,omega,e_line,line_loss_flag,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,obstacle_flag,fault_flag,u_L,u_R,sat_flag_L,sat_flag_R,safety_violation,notes
Demo_S2_simple,S2,0.000,0.0036,0.0000,0.0160,0.3600,1.6000,0.0000,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.3000,0.6000,0,0,0,SIMPLE
Demo_S2_simple,S2,0.010,0.0072,0.0001,0.0320,0.3600,1.6000,0.0000,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.3000,0.6000,0,0,0,SIMPLE
Demo_S2_simple,S2,0.020,0.0108,0.0002,0.0480,0.3600,1.6007,0.0001,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2999,0.6001,0,0,0,SIMPLE
Demo_S2_simple,S2,0.030,0.0144,0.0003,0.0640,0.3600,1.6022,0.0002,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2998,0.6002,0,0,0,SIMPLE
Demo_S2_simple,S2,0.040,0.0180,0.0006,0.0801,0.3600,1.6044,0.0003,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2996,0.6004,0,0,0,SIMPLE
Demo_S2_simple,S2,0.050,0.0216,0.0009,0.0961,0.3600,1.6074,0.0006,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2993,0.6007,0,0,0,SIMPLE
Demo_S2_simple,S2,0.060,0.0252,0.0012,0.1123,0.3600,1.6111,0.0009,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2990,0.6010,0,0,0,SIMPLE
Demo_S2_simple,S2,0.070,0.0287,0.0016,0.1284,0.3600,1.6155,0.0012,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2985,0.6015,0,0,0,SIMPLE
Demo_S2_simple,S2,0.080,0.0323,0.0021,0.1446,0.3600,1.6206,0.0016,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2981,0.6019,0,0,0,SIMPLE
Demo_S2_simple,S2,0.090,0.0359,0.0026,0.1609,0.3600,1.6265,0.0021,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2975,0.6025,0,0,0,SIMPLE
Demo_S2_simple,S2,0.100,0.0394,0.0032,0.1772,0.3600,1.6332,0.0026,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2969,0.6031,0,0,0,SIMPLE
Demo_S2_simple,S2,0.110,0.0430,0.0038,0.1936,0.3600,1.6406,0.0032,0,0.2000,0.5000,1.0000,0.5000,0.2000,0,0,0.2962,0.6038,0,0,0,SIMPLE
